1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 790000003B54A821
Is Mission Active?  false
Mission Start:  Tue Oct 03 16:33:00 IST 2017
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  3722
Total Samples:  15624
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/3/17 4:33:00 PM,C,35
10/3/17 4:38:00 PM,C,33.5
10/3/17 4:43:00 PM,C,33.5
10/3/17 4:48:00 PM,C,33
10/3/17 4:53:00 PM,C,32.5
10/3/17 4:58:00 PM,C,32.5
10/3/17 5:03:00 PM,C,32.5
10/3/17 5:08:00 PM,C,32.5
10/3/17 5:13:00 PM,C,32.5
10/3/17 5:18:00 PM,C,32.5
10/3/17 5:23:00 PM,C,32.5
10/3/17 5:28:00 PM,C,32.5
10/3/17 5:33:00 PM,C,32.5
10/3/17 5:38:00 PM,C,32.5
10/3/17 5:43:00 PM,C,32
10/3/17 5:48:00 PM,C,32
10/3/17 5:53:00 PM,C,32
10/3/17 5:58:00 PM,C,32
10/3/17 6:03:00 PM,C,32
10/3/17 6:08:00 PM,C,32
10/3/17 6:13:00 PM,C,31.5
10/3/17 6:18:00 PM,C,31.5
10/3/17 6:23:00 PM,C,31.5
10/3/17 6:28:00 PM,C,31.5
10/3/17 6:33:00 PM,C,31.5
10/3/17 6:38:00 PM,C,31.5
10/3/17 6:43:00 PM,C,31.5
10/3/17 6:48:00 PM,C,31.5
10/3/17 6:53:00 PM,C,31.5
10/3/17 6:58:00 PM,C,31.5
10/3/17 7:03:00 PM,C,31.5
10/3/17 7:08:00 PM,C,31.5
10/3/17 7:13:00 PM,C,32
10/3/17 7:18:00 PM,C,33
10/3/17 7:23:00 PM,C,33.5
10/3/17 7:28:00 PM,C,34.5
10/3/17 7:33:00 PM,C,34.5
10/3/17 7:38:00 PM,C,35
10/3/17 7:43:00 PM,C,34.5
10/3/17 7:48:00 PM,C,34
10/3/17 7:53:00 PM,C,33.5
10/3/17 7:58:00 PM,C,33
10/3/17 8:03:00 PM,C,32.5
10/3/17 8:08:00 PM,C,32.5
10/3/17 8:13:00 PM,C,41.5
10/3/17 8:18:00 PM,C,48.5
10/3/17 8:23:00 PM,C,45.5
10/3/17 8:28:00 PM,C,41.5
10/3/17 8:33:00 PM,C,38
10/3/17 8:38:00 PM,C,36
10/3/17 8:43:00 PM,C,34.5
10/3/17 8:48:00 PM,C,33.5
10/3/17 8:53:00 PM,C,33
10/3/17 8:58:00 PM,C,32.5
10/3/17 9:03:00 PM,C,32
10/3/17 9:08:00 PM,C,31.5
10/3/17 9:13:00 PM,C,31.5
10/3/17 9:18:00 PM,C,31.5
10/3/17 9:23:00 PM,C,31
10/3/17 9:28:00 PM,C,31
10/3/17 9:33:00 PM,C,31
10/3/17 9:38:00 PM,C,31
10/3/17 9:43:00 PM,C,31
10/3/17 9:48:00 PM,C,31
10/3/17 9:53:00 PM,C,31
10/3/17 9:58:00 PM,C,31
10/3/17 10:03:00 PM,C,30.5
10/3/17 10:08:00 PM,C,30.5
10/3/17 10:13:00 PM,C,30.5
10/3/17 10:18:00 PM,C,30.5
10/3/17 10:23:00 PM,C,30.5
10/3/17 10:28:00 PM,C,30.5
10/3/17 10:33:00 PM,C,30.5
10/3/17 10:38:00 PM,C,30.5
10/3/17 10:43:00 PM,C,30.5
10/3/17 10:48:00 PM,C,30.5
10/3/17 10:53:00 PM,C,30.5
10/3/17 10:58:00 PM,C,30.5
10/3/17 11:03:00 PM,C,30.5
10/3/17 11:08:00 PM,C,30.5
10/3/17 11:13:00 PM,C,30.5
10/3/17 11:18:00 PM,C,30.5
10/3/17 11:23:00 PM,C,30.5
10/3/17 11:28:00 PM,C,30.5
10/3/17 11:33:00 PM,C,30.5
10/3/17 11:38:00 PM,C,30.5
10/3/17 11:43:00 PM,C,30.5
10/3/17 11:48:00 PM,C,30.5
10/3/17 11:53:00 PM,C,30
10/3/17 11:58:00 PM,C,30
10/4/17 12:03:00 AM,C,30
10/4/17 12:08:00 AM,C,30
10/4/17 12:13:00 AM,C,30
10/4/17 12:18:00 AM,C,30
10/4/17 12:23:00 AM,C,30
10/4/17 12:28:00 AM,C,30
10/4/17 12:33:00 AM,C,30
10/4/17 12:38:00 AM,C,30
10/4/17 12:43:00 AM,C,30
10/4/17 12:48:00 AM,C,30
10/4/17 12:53:00 AM,C,30
10/4/17 12:58:00 AM,C,30
10/4/17 1:03:00 AM,C,30
10/4/17 1:08:00 AM,C,30
10/4/17 1:13:00 AM,C,30
10/4/17 1:18:00 AM,C,30
10/4/17 1:23:00 AM,C,30
10/4/17 1:28:00 AM,C,30
10/4/17 1:33:00 AM,C,30
10/4/17 1:38:00 AM,C,30
10/4/17 1:43:00 AM,C,30
10/4/17 1:48:00 AM,C,30
10/4/17 1:53:00 AM,C,30
10/4/17 1:58:00 AM,C,30
10/4/17 2:03:00 AM,C,30
10/4/17 2:08:00 AM,C,30
10/4/17 2:13:00 AM,C,30
10/4/17 2:18:00 AM,C,30
10/4/17 2:23:00 AM,C,30
10/4/17 2:28:00 AM,C,30
10/4/17 2:33:00 AM,C,30
10/4/17 2:38:00 AM,C,30
10/4/17 2:43:00 AM,C,29.5
10/4/17 2:48:00 AM,C,30
10/4/17 2:53:00 AM,C,29.5
10/4/17 2:58:00 AM,C,30
10/4/17 3:03:00 AM,C,29.5
10/4/17 3:08:00 AM,C,30
10/4/17 3:13:00 AM,C,29.5
10/4/17 3:18:00 AM,C,30
10/4/17 3:23:00 AM,C,30
10/4/17 3:28:00 AM,C,30
10/4/17 3:33:00 AM,C,30
10/4/17 3:38:00 AM,C,30
10/4/17 3:43:00 AM,C,29.5
10/4/17 3:48:00 AM,C,30
10/4/17 3:53:00 AM,C,29.5
10/4/17 3:58:00 AM,C,30
10/4/17 4:03:00 AM,C,29.5
10/4/17 4:08:00 AM,C,30
10/4/17 4:13:00 AM,C,29.5
10/4/17 4:18:00 AM,C,29.5
10/4/17 4:23:00 AM,C,29.5
10/4/17 4:28:00 AM,C,29.5
10/4/17 4:33:00 AM,C,29.5
10/4/17 4:38:00 AM,C,29.5
10/4/17 4:43:00 AM,C,29.5
10/4/17 4:48:00 AM,C,29.5
10/4/17 4:53:00 AM,C,29.5
10/4/17 4:58:00 AM,C,29.5
10/4/17 5:03:00 AM,C,29.5
10/4/17 5:08:00 AM,C,29.5
10/4/17 5:13:00 AM,C,29.5
10/4/17 5:18:00 AM,C,29.5
10/4/17 5:23:00 AM,C,29.5
10/4/17 5:28:00 AM,C,29.5
10/4/17 5:33:00 AM,C,29.5
10/4/17 5:38:00 AM,C,29.5
10/4/17 5:43:00 AM,C,29.5
10/4/17 5:48:00 AM,C,29.5
10/4/17 5:53:00 AM,C,29.5
10/4/17 5:58:00 AM,C,29.5
10/4/17 6:03:00 AM,C,29.5
10/4/17 6:08:00 AM,C,29.5
10/4/17 6:13:00 AM,C,29.5
10/4/17 6:18:00 AM,C,29.5
10/4/17 6:23:00 AM,C,29.5
10/4/17 6:28:00 AM,C,29.5
10/4/17 6:33:00 AM,C,29
10/4/17 6:38:00 AM,C,29
10/4/17 6:43:00 AM,C,29
10/4/17 6:48:00 AM,C,29
10/4/17 6:53:00 AM,C,29
10/4/17 6:58:00 AM,C,29.5
10/4/17 7:03:00 AM,C,30.5
10/4/17 7:08:00 AM,C,31.5
10/4/17 7:13:00 AM,C,32.5
10/4/17 7:18:00 AM,C,33
10/4/17 7:23:00 AM,C,33.5
10/4/17 7:28:00 AM,C,34
10/4/17 7:33:00 AM,C,34.5
