1-Wire/iButton Part Number: DS1922E
1-Wire/iButton Registration Number: 460000001C384341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 886 second(s)
Mission Start Time:  Sun Jul 28 10:00:01 AST 2013
Mission Sample Count:  8192
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Aug 21 13:35:31 AST 2013
Total Mission Samples:  10547
Total Device Samples:  10554
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/21/13 1:35:31 PM,C,30.5
8/21/13 1:50:17 PM,C,30.5
8/21/13 2:05:03 PM,C,30.5
8/21/13 2:19:49 PM,C,31
8/21/13 2:34:35 PM,C,31
8/21/13 2:49:21 PM,C,31
8/21/13 3:04:07 PM,C,31
8/21/13 3:18:53 PM,C,31.5
8/21/13 3:33:39 PM,C,31.5
8/21/13 3:48:25 PM,C,31.5
8/21/13 4:03:11 PM,C,31.5
8/21/13 4:17:57 PM,C,31.5
8/21/13 4:32:43 PM,C,31.5
8/21/13 4:47:29 PM,C,31.5
8/21/13 5:02:15 PM,C,31.5
8/21/13 5:17:01 PM,C,31.5
8/21/13 5:31:47 PM,C,31.5
8/21/13 5:46:33 PM,C,31.5
8/21/13 6:01:19 PM,C,31.5
8/21/13 6:16:05 PM,C,31.5
8/21/13 6:30:51 PM,C,31.5
8/21/13 6:45:37 PM,C,31.5
8/21/13 7:00:23 PM,C,31.5
8/21/13 7:15:09 PM,C,31.5
8/21/13 7:29:55 PM,C,31
8/21/13 7:44:41 PM,C,31
8/21/13 7:59:27 PM,C,31
8/21/13 8:14:13 PM,C,31
8/21/13 8:28:59 PM,C,31
8/21/13 8:43:45 PM,C,31
8/21/13 8:58:31 PM,C,31
8/21/13 9:13:17 PM,C,31
8/21/13 9:28:03 PM,C,31
8/21/13 9:42:49 PM,C,31
8/21/13 9:57:35 PM,C,31
8/21/13 10:12:21 PM,C,31
