1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 0D0000002C966C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Jan 30 09:58:01 ICT 2015
Mission Sample Count:  2505
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Jan 30 09:58:01 ICT 2015
Total Mission Samples:  2505
Total Device Samples:  6731
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
30/01/15 9:58:01 AM,C,34.622
30/01/15 10:08:01 AM,C,27.134
30/01/15 10:18:01 AM,C,27.134
30/01/15 10:28:01 AM,C,27.134
30/01/15 10:38:01 AM,C,27.634
30/01/15 10:48:01 AM,C,28.134
30/01/15 10:58:01 AM,C,28.633
30/01/15 11:08:01 AM,C,29.133
30/01/15 11:18:01 AM,C,29.632
30/01/15 11:28:01 AM,C,29.632
30/01/15 11:38:01 AM,C,30.131
30/01/15 11:48:01 AM,C,30.131
30/01/15 11:58:01 AM,C,30.631
30/01/15 12:08:01 PM,C,30.631
30/01/15 12:18:01 PM,C,31.13
30/01/15 12:28:01 PM,C,31.13
30/01/15 12:38:01 PM,C,31.629
30/01/15 12:48:01 PM,C,31.629
30/01/15 12:58:01 PM,C,32.128
30/01/15 1:08:01 PM,C,32.128
30/01/15 1:18:01 PM,C,32.128
30/01/15 1:28:01 PM,C,32.627
30/01/15 1:38:01 PM,C,32.627
30/01/15 1:48:01 PM,C,32.627
30/01/15 1:58:01 PM,C,33.126
30/01/15 2:08:01 PM,C,33.126
30/01/15 2:18:01 PM,C,33.126
30/01/15 2:28:01 PM,C,33.126
30/01/15 2:38:01 PM,C,33.126
30/01/15 2:48:01 PM,C,33.625
30/01/15 2:58:01 PM,C,33.625
30/01/15 3:08:01 PM,C,33.625
30/01/15 3:18:01 PM,C,33.126
30/01/15 3:28:01 PM,C,33.625
30/01/15 3:38:01 PM,C,33.126
30/01/15 3:48:01 PM,C,33.126
30/01/15 3:58:01 PM,C,33.126
30/01/15 4:08:01 PM,C,32.627
30/01/15 4:18:01 PM,C,32.128
30/01/15 4:28:01 PM,C,31.629
30/01/15 4:38:01 PM,C,31.629
30/01/15 4:48:01 PM,C,31.13
30/01/15 4:58:01 PM,C,31.13
30/01/15 5:08:01 PM,C,30.631
30/01/15 5:18:01 PM,C,30.131
30/01/15 5:28:01 PM,C,29.632
30/01/15 5:38:01 PM,C,29.133
30/01/15 5:48:01 PM,C,29.133
30/01/15 5:58:01 PM,C,28.633
30/01/15 6:08:01 PM,C,28.134
30/01/15 6:18:01 PM,C,28.134
30/01/15 6:28:01 PM,C,27.634
30/01/15 6:38:01 PM,C,27.134
30/01/15 6:48:01 PM,C,27.134
30/01/15 6:58:01 PM,C,26.634
30/01/15 7:08:01 PM,C,26.634
30/01/15 7:18:01 PM,C,26.135
30/01/15 7:28:01 PM,C,26.135
30/01/15 7:38:01 PM,C,25.635
30/01/15 7:48:01 PM,C,25.635
30/01/15 7:58:01 PM,C,25.135
30/01/15 8:08:01 PM,C,25.135
30/01/15 8:18:01 PM,C,24.635
30/01/15 8:28:01 PM,C,24.635
30/01/15 8:38:01 PM,C,24.135
30/01/15 8:48:01 PM,C,24.135
30/01/15 8:58:01 PM,C,23.634
30/01/15 9:08:01 PM,C,23.634
30/01/15 9:18:01 PM,C,23.634
30/01/15 9:28:01 PM,C,23.134
30/01/15 9:38:01 PM,C,23.134
30/01/15 9:48:01 PM,C,22.634
30/01/15 9:58:01 PM,C,22.634
