1-Wire/iButton Part Number: DS1922T
1-Wire/iButton Registration Number: 850000001C407F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Apr 10 11:49:01 IST 2012
Mission Sample Count:  2307
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Apr 10 11:49:01 IST 2012
Total Mission Samples:  2307
Total Device Samples:  9842
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/12 11:49:01 AM,C,49.103
4/10/12 11:59:01 AM,C,50.105
4/10/12 12:09:01 PM,C,48.602
4/10/12 12:19:01 PM,C,48.602
4/10/12 12:29:01 PM,C,47.098
4/10/12 12:39:01 PM,C,46.597
4/10/12 12:49:01 PM,C,46.095
4/10/12 12:59:01 PM,C,45.594
4/10/12 1:09:01 PM,C,45.092
4/10/12 1:19:01 PM,C,44.591
4/10/12 1:29:01 PM,C,44.591
4/10/12 1:39:01 PM,C,44.089
4/10/12 1:49:01 PM,C,43.587
4/10/12 1:59:01 PM,C,43.587
4/10/12 2:09:01 PM,C,43.086
4/10/12 2:19:01 PM,C,43.086
4/10/12 2:29:01 PM,C,42.584
4/10/12 2:39:01 PM,C,42.082
4/10/12 2:49:01 PM,C,42.082
4/10/12 2:59:01 PM,C,42.082
4/10/12 3:09:01 PM,C,41.58
4/10/12 3:19:01 PM,C,41.58
4/10/12 3:29:01 PM,C,41.078
4/10/12 3:39:01 PM,C,41.078
4/10/12 3:49:01 PM,C,40.576
4/10/12 3:59:01 PM,C,40.576
4/10/12 4:09:01 PM,C,40.576
4/10/12 4:19:01 PM,C,40.074
4/10/12 4:29:01 PM,C,40.074
4/10/12 4:39:01 PM,C,39.571
4/10/12 4:49:01 PM,C,39.571
4/10/12 4:59:01 PM,C,39.571
4/10/12 5:09:01 PM,C,39.069
4/10/12 5:19:01 PM,C,39.069
4/10/12 5:29:01 PM,C,39.069
4/10/12 5:39:01 PM,C,39.069
4/10/12 5:49:01 PM,C,38.064
4/10/12 5:59:01 PM,C,37.059
4/10/12 6:09:01 PM,C,36.557
4/10/12 6:19:01 PM,C,36.557
4/10/12 6:29:01 PM,C,36.054
4/10/12 6:39:01 PM,C,35.551
4/10/12 6:49:01 PM,C,36.054
4/10/12 6:59:01 PM,C,36.054
4/10/12 7:09:01 PM,C,39.069
4/10/12 7:19:01 PM,C,44.089
4/10/12 7:29:01 PM,C,48.101
4/10/12 7:39:01 PM,C,52.108
4/10/12 7:49:01 PM,C,55.111
4/10/12 7:59:01 PM,C,56.612
4/10/12 8:09:01 PM,C,58.612
4/10/12 8:19:01 PM,C,59.112
4/10/12 8:29:01 PM,C,57.612
4/10/12 8:39:01 PM,C,57.112
4/10/12 8:49:01 PM,C,55.612
4/10/12 8:59:01 PM,C,53.61
4/10/12 9:09:01 PM,C,53.61
4/10/12 9:19:01 PM,C,52.108
4/10/12 9:29:01 PM,C,50.105
4/10/12 9:39:01 PM,C,48.101
4/10/12 9:49:01 PM,C,48.602
4/10/12 9:59:01 PM,C,47.599
4/10/12 10:09:01 PM,C,45.594
4/10/12 10:19:01 PM,C,45.092
4/10/12 10:29:01 PM,C,44.089
4/10/12 10:39:01 PM,C,42.584
4/10/12 10:49:01 PM,C,42.082
4/10/12 10:59:01 PM,C,42.082
4/10/12 11:09:01 PM,C,41.58
4/10/12 11:19:01 PM,C,40.074
4/10/12 11:29:01 PM,C,39.069
4/10/12 11:39:01 PM,C,38.064
4/10/12 11:49:01 PM,C,37.059
4/10/12 11:59:01 PM,C,36.557
4/11/12 12:09:01 AM,C,37.059
4/11/12 12:19:01 AM,C,36.557
4/11/12 12:29:01 AM,C,35.551
4/11/12 12:39:01 AM,C,35.551
4/11/12 12:49:01 AM,C,35.049
4/11/12 12:59:01 AM,C,35.049
4/11/12 1:09:01 AM,C,35.049
4/11/12 1:19:01 AM,C,34.043
4/11/12 1:29:01 AM,C,34.043
4/11/12 1:39:01 AM,C,34.043
4/11/12 1:49:01 AM,C,33.54
4/11/12 1:59:01 AM,C,33.54
4/11/12 2:09:01 AM,C,33.54
4/11/12 2:19:01 AM,C,33.037
4/11/12 2:29:01 AM,C,32.534
4/11/12 2:39:01 AM,C,32.534
4/11/12 2:49:01 AM,C,32.534
4/11/12 2:59:01 AM,C,32.534
4/11/12 3:09:01 AM,C,32.031
4/11/12 3:19:01 AM,C,32.031
4/11/12 3:29:01 AM,C,31.527
4/11/12 3:39:01 AM,C,31.527
4/11/12 3:49:01 AM,C,31.024
4/11/12 3:59:01 AM,C,31.024
4/11/12 4:09:01 AM,C,31.024
4/11/12 4:19:01 AM,C,30.521
4/11/12 4:29:01 AM,C,30.521
4/11/12 4:39:01 AM,C,30.521
4/11/12 4:49:01 AM,C,30.521
4/11/12 4:59:01 AM,C,30.017
4/11/12 5:09:01 AM,C,30.521
4/11/12 5:19:01 AM,C,30.521
4/11/12 5:29:01 AM,C,30.017
4/11/12 5:39:01 AM,C,30.017
4/11/12 5:49:01 AM,C,30.017
4/11/12 5:59:01 AM,C,30.017
4/11/12 6:09:01 AM,C,29.514
4/11/12 6:19:01 AM,C,29.514
4/11/12 6:29:01 AM,C,29.514
4/11/12 6:39:01 AM,C,29.514
4/11/12 6:49:01 AM,C,30.521
4/11/12 6:59:01 AM,C,33.54
4/11/12 7:09:01 AM,C,38.567
4/11/12 7:19:01 AM,C,45.092
4/11/12 7:29:01 AM,C,52.609
4/11/12 7:39:01 AM,C,55.612
4/11/12 7:49:01 AM,C,60.611
4/11/12 7:59:01 AM,C,63.608
4/11/12 8:09:01 AM,C,66.103
4/11/12 8:19:01 AM,C,68.099
4/11/12 8:29:01 AM,C,72.585
4/11/12 8:39:01 AM,C,73.083
4/11/12 8:49:01 AM,C,73.581
4/11/12 8:59:01 AM,C,73.581
4/11/12 9:09:01 AM,C,74.577
4/11/12 9:19:01 AM,C,75.573
4/11/12 9:29:01 AM,C,76.568
4/11/12 9:39:01 AM,C,74.577
4/11/12 9:49:01 AM,C,73.083
